trailing_stop_pct,stop_loss_pct,ssma_period,final_value
0.04,0.005,40,22896.75
0.03,0.01,10,16832.769999995828
0.03,0.01,10,16832.769999995828
0.04,0.005,40,22896.75
0.05,0.005,50,10449.23999999743
0.04,0.015,10,7931.16000000108
0.01,0.015,20,26045.370000002906
0.01,0.02,20,26045.370000002906
0.01,0.015,20,26045.370000002906
0.05,0.01,50,4786.109999998473
0.02,0.02,40,5473.749999999069
0.04,0.005,30,4404.030000004917
0.02,0.01,10,26109.969999998808
0.05,0.005,10,8378.190000005066
0.02,0.005,30,15958.110000001267
0.01,0.01,20,26045.370000002906
0.02,0.02,30,13656.810000000522
0.02,0.005,50,16071.559999997728
0.02,0.005,10,24078.930000002496
0.01,0.005,20,29230.74000000488
0.03,0.005,40,26733.86999999825
0.01,0.005,40,18864.669999998063
0.03,0.015,40,9597.040000000037
0.03,0.005,20,9906.789999998175
0.01,0.005,30,18930.940000005066
0.01,0.015,50,12115.509999996983
0.03,0.01,40,16132.05999999959
0.02,0.015,10,27835.720000001602
0.02,0.015,20,21894.589999997057
0.02,0.005,20,18669.360000000335
